ref,value,footprint,Digikey Part No.,,Quantity
P17,DBG_CONN,idlehands_footprints:Pin_Header_Straight_2x05_Pitch1.27mm,1175-1629-ND,,1
C3 C5 C1 C11 C12 C13 C14,0.1uF,project_footprints:C_0402_Hand,490-6328-1-ND,,7
U3,AP2112K-3.3V,TO_SOT_Packages_SMD:SOT-23-5,AP2112K-3.3TRG1DICT-ND,,1
Y1,Crystal_Small,project_footprints:crystal_smd_5x3.2mm,535-9536-1-ND,,1
P3,ESP8266,Pin_Headers:Pin_Header_Straight_2x04,S5713-ND,,1
R3 R6,10k,project_footprints:R_0402_Hand,311-10KJRCT-ND,,2
F1,500mA,project_footprints:c_1206,507-1803-1-ND,,1
U1,74AHC1G125,project_footprints:sot23-5,296-8744-1-ND,,1
C2 C4,15pF,project_footprints:C_0402_Hand,712-1261-1-ND,,2
SW2,SW_PUSH,project_footprints:SW_SPST_PTS645,CKN9112CT-ND,,1
R5,Photores,Pin_Headers:Pin_Header_Straight_1x02,PDV-P9203-ND,,1
SW3,SW_PUSH,project_footprints:SW_SPST_PTS645,CKN9084CT-ND,,1
"D1-D144, D1006",RX,project_footprints:Led_0603,160-1447-1-ND,,145
R2,330,project_footprints:R_0402_Hand,311-330JRCT-ND,,1
C10 C7,10uF,project_footprints:C_SM0603,490-6405-1-ND,,2
P1,USB_OTG,Connect:USB_Micro-B,609-4618-1-ND,,1
C9,2.2uF,project_footprints:C_0402_Hand,490-10451-1-ND,,1
R1,100k,project_footprints:R_0402_Hand,311-100KLRCT-ND,,1
D1007,TX,project_footprints:Led_0603,160-1448-1-ND,,1
C6,2.2uF,idlehands_footprints:c_1206,1276-1291-1-ND,,1
R4,47K,project_footprints:R_0402_Hand,311-47.0KLRCT-ND,,1
R14 R13,1k,project_footprints:R_0402_Hand,311-1.0KJRCT-ND,,2
Q1,Q_PMOS_GSD,idlehands_footprints:SOT23,IRLML6402PBFCT-ND,,1
U4,IS31FL3731,Housings_DFN_QFN:QFN-28-1EP_4x4mm_Pitch0.4mm,706-1219-1-ND,,1
U2,SAMD21G18,project_footprints:TQFP-48_7x7mm_Pitch0.5mm,ATSAMD21G18A-AU-ND,,1
C8,1uF,project_footprints:C_0402_Hand,490-1320-1-ND,,1
R10 R9 R8 R11 R7 R12,20k,project_footprints:R_0402_Hand,311-20KJRCT-ND,,6
SW4,SW_PUSH,Buttons_Switches_SMD:SW_SPST_EVQPE1,401-1702-1-ND,,1
L1,FB - 30Ohm,project_footprints:R_SM0603,445-2986-1-ND,,1
